p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1,outlier,id,cluster,spw,spw_count
64.0,42.0,David Ferrer,$5.170,David Ferrer,Jan 7 2013,Auckland,F,Philipp Kohlschreiber,false,25.0,cluster_4,0,0
62.0,29.0,Jeremy Chardy,$1.923,Feliciano Lopez,Jan 7 2013,Sydney,R32,Feliciano Lopez,false,72.0,cluster_0,0,0
67.0,40.0,Novak Djokovic,$4.898,Novak Djokovic,Jan 9 2013,Barclays ATP World Tour Finals,S,Juan Martin Del Potro,false,44.0,cluster_4,0.01,3
64,31,Fernando Verdasco,$1.812,Kevin Anderson,Jan 14 2013,Australian Open Slam,Round of 32,Kevin Anderson,FALSE,66,cluster_1,0.16,1
64,53,Andy Murray,$12.323,Andy Murray,Jan 14 2013,Australian Open Slam,Quarter Final,Jeremy Chardy,FALSE,43,cluster_0,0.99,7
57,34,Andreas Seppi,$2.590,Jeremy Chardy,Jan 14 2013,Australian Open Slam,Round of 16,Jeremy Chardy,FALSE,48,cluster_2,0.19,3
66,33,Juan Martin del Potro,$16.225,Jeremy Chardy,Jan 14 2013,Australian Open Slam,Round of 32,Jeremy Chardy,FALSE,50,cluster_3,-0.26,2
59,42,Andreas Seppi,$1.437,Andreas Seppi,Jan 14 2013,Australian Open Slam,Round of 32,Marin Cilic,FALSE,64,cluster_2,0.35,2
71.0,39.0,Andy Murray,$2.304,Andy Murray,Jan 14 2013,Australian Open Slam,Semi Final,Roger Federer,false,76.0,cluster_2,0.16,2
66.0,31.0,Jo-Wilfried Tsonga,$1.200,Roger Federer,Jan 14 2013,Australian Open Slam,Quarter Final,Roger Federer,false,77.0,cluster_2,0,0
64.0,15.0,Milos Raonic,$1.139,Roger Federer,Jan 14 2013,Australian Open Slam,Round of 16,Roger Federer,false,81.0,cluster_0,0,0
70.0,34.0,Jo-Wilfried Tsonga,$2.837,Jo-Wilfried Tsonga,Jan 14 2013,Australian Open Slam,Round of 16,Richard Gasquet,false,77.0,cluster_3,0.1,1
61.0,32.0,Alexandr Dolgopolov,$2.474,Gael Monfils,Jan 14 2013,Australian Open Slam,Round of 128,Gael Monfils,false,73.0,cluster_3,0,0
61.0,29.0,Roger Federer,$1.716,Andy Murray,Jan 14 2013,Australian Open Slam,Semi Final,Andy Murray,false,45.0,cluster_2,0.4,10
47.0,36.0,Jeremy Chardy,$1.069,Andy Murray,Jan 14 2013,Australian Open Slam,Quarter Final,Andy Murray,false,49.0,cluster_1,-0.03,1
48.0,30.0,Gilles Simon,$1.024,Andy Murray,Jan 14 2013,Australian Open Slam,Round of 16,Andy Murray,false,53.0,cluster_4,0,0
61.0,32.0,Grigor Dimitrov,$1.165,Andy Murray,Jan 14 2013,Brisbane,F,Andy Murray,false,58.0,cluster_2,-0.02,1
85.0,36.0,Roger Federer,$7.186,Roger Federer,Jan 14 2013,Australian Open Slam,Round of 16,Milos Raonic,false,60.0,cluster_3,0,0
68.0,20.0,Philipp Kohlschreiber,$1.677,Milos Raonic,Jan 14 2013,Australian Open Slam,Round of 32,Milos Raonic,false,63.0,cluster_1,0,0
58.0,41.0,Marin Cilic,$3.114,Andreas Seppi,Jan 14 2013,Australian Open Slam,Round of 32,Andreas Seppi,false,74.0,cluster_4,0,0
69.0,34.0,Roger Federer,$5.448,Roger Federer,Jan 14 2013,Australian Open Slam,Quarter Final,Jo-Wilfried Tsonga,false,59.0,cluster_1,-0.1,1
66.0,30.0,Richard Gasquet,$1.515,Jo-Wilfried Tsonga,Jan 14 2013,Australian Open Slam,Round of 16,Jo-Wilfried Tsonga,false,60.0,cluster_1,0,0
68.0,39.0,Gael Monfils,$1.632,Gael Monfils,Jan 14 2013,Australian Open Slam,Round of 128,Alexandr Dolgopolov,false,19.0,cluster_2,0.16,1
80.0,31.0,Nicolas Almagro,$1.190,Nicolas Almagro,Jan 14 2013,Australian Open Slam,Round of 32,Jerzy Janowicz,false,1.0,cluster_3,0,0
80.0,32.0,Milos Raonic,$2.401,Milos Raonic,Jan 14 2013,Australian Open Slam,Round of 32,Philipp Kohlschreiber,false,59.0,cluster_2,0,0
76.0,38.0,Kevin Anderson,$3.253,Kevin Anderson,Jan 14 2013,Sydney,R16,Feliciano Lopez,false,73.0,cluster_3,0.09,1
59.0,45.0,Gael Monfils,$1.583,Gilles Simon,Jan 14 2013,Australian Open Slam,Round of 32,Gilles Simon,false,9.0,cluster_3,-0.15,1
70.0,52.0,Andy Murray,$24.940,Andy Murray,Jan 14 2013,Australian Open Slam,Round of 16,Gilles Simon,false,14.0,cluster_0,0,0
65,41,David Ferrer,$5.608,David Ferrer,Feb 1 2013,Australian Open Slam,Quarter Final,Nicolas Almagro,FALSE,69,cluster_3,0.16,5
69,20,Jerzy Janowicz,$1.406,Nicolas Almagro,Feb 1 2013,Australian Open Slam,Round of 32,Nicolas Almagro,FALSE,74,cluster_2,0,0
73,47,Rafael Nadal,$7.727,Rafael Nadal,Feb 4 2013,Vina del Mar,S,Jeremy Chardy,FALSE,39,cluster_0,-0.13,2
56,37,Mikhail Youzhny,$1.609,Marin Cilic,Feb 4 2013,Zagreb,S,Marin Cilic,FALSE,61,cluster_1,0.34,3
58.0,36.0,Gael Monfils,$1.630,Richard Gasquet,Feb 4 2013,Montpellier,R16,Richard Gasquet,false,76.0,cluster_2,-0.08,1
55.0,41.0,Gilles Simon,$2.624,Gilles Simon,Feb 4 2013,Australian Open Slam,Round of 32,Gael Monfils,false,71.0,cluster_0,-0.1,6
66.0,43.0,Jeremy Chardy,$1.585,Jeremy Chardy,Feb 4 2013,Australian Open Slam,Round of 16,Andreas Seppi,false,73.0,cluster_3,0.01,1
62.0,43.0,Marin Cilic,$2.528,Marin Cilic,Feb 4 2013,Zagreb,S,Mikhail Youzhny,false,70.0,cluster_4,0.14,1
64.0,26.0,Grigor Dimitrov,$1.248,Juan Martin Del Potro,Feb 11 2013,Rotterdam,S,Juan Martin Del Potro,false,31.0,cluster_3,0,0
65.0,32.0,Ernests Gulbis,$1.256,Juan Martin Del Potro,Feb 11 2013,Rotterdam,R16,Juan Martin Del Potro,false,35.0,cluster_3,0,0
63.0,24.0,Gael Monfils,$1.263,Juan Martin Del Potro,Feb 11 2013,Rotterdam,R32,Juan Martin Del Potro,false,36.0,cluster_3,0.09,1
67.0,34.0,Jeremy Chardy,$1.045,Jeremy Chardy,Feb 11 2013,Australian Open Slam,Round of 32,Juan Martin del Potro,false,40.0,cluster_4,0.22,2
73.0,35.0,Juan Martin Del Potro,$4.632,Juan Martin Del Potro,Feb 11 2013,Rotterdam,S,Grigor Dimitrov,false,77.0,cluster_0,0.05,1
76.0,42.0,Milos Raonic,$2.710,Milos Raonic,Feb 11 2013,San Jose,F,Tommy Haas,false,85.0,cluster_1,0,0
64.0,19.0,John Isner,$1.773,Tommy Haas,Feb 11 2013,San Jose,S,Tommy Haas,false,86.0,cluster_0,-0.18,1
80.0,35.0,Tommy Haas,$2.207,Tommy Haas,Feb 11 2013,San Jose,S,John Isner,false,78.0,cluster_1,0,0
63.0,41.0,Richard Gasquet,$2.472,Richard Gasquet,Feb 11 2013,Montpellier,R16,Gael Monfils,false,69.0,cluster_4,0.07,1
57.0,23.0,Tommy Haas,$1.543,Milos Raonic,Feb 11 2013,San Jose,F,Milos Raonic,false,53.0,cluster_4,0,0
54.0,39.0,Fabio Fognini,$2.076,Roberto Bautista Agut,Feb 11 2013,Australian Open Slam,Round of 128,Roberto Bautista Agut,false,48.0,cluster_2,0,0
78,32,Stan Wawrinka,$1.755,Stan Wawrinka,Feb 18 2013,Buenos Aires,S,Nicolas Almagro,FALSE,55,cluster_1,-0.08,3
68,43,Kei Nishikori,$1.799,Kei Nishikori,Feb 18 2013,Memphis,Q,Marin Cilic,FALSE,57,cluster_2,0.35,8
71.0,34.0,Tomas Berdych,$3.089,Tomas Berdych,Feb 18 2013,Marseille,R16,Ernests Gulbis,false,80.0,cluster_2,0,0
75.0,36.0,Juan Martin Del Potro,$4.446,Juan Martin Del Potro,Feb 18 2013,Rotterdam,R32,Gael Monfils,false,68.0,cluster_4,0,0
54.0,20.0,Feliciano Lopez,$1.272,Kei Nishikori,Feb 18 2013,Memphis,F,Kei Nishikori,false,65.0,cluster_2,0.16,1
56.0,31.0,Marin Cilic,$2.169,Kei Nishikori,Feb 18 2013,Memphis,Q,Kei Nishikori,false,69.0,cluster_2,0,0
67.0,48.0,David Ferrer,$12.327,David Ferrer,Feb 18 2013,Buenos Aires,S,Tommy Robredo,false,69.0,cluster_3,0,0
75.0,33.0,Tomas Berdych,$2.270,Jo-Wilfried Tsonga,Feb 18 2013,Marseille,F,Jo-Wilfried Tsonga,false,49.0,cluster_4,0,0
53.0,23.0,Gilles Simon,$1.518,Jo-Wilfried Tsonga,Feb 18 2013,Marseille,S,Jo-Wilfried Tsonga,false,50.0,cluster_2,0,0
69.0,36.0,Kevin Anderson,$2.167,Kevin Anderson,Feb 18 2013,Australian Open Slam,Round of 32,Fernando Verdasco,false,65.0,cluster_3,-0.32,2
66.0,44.0,Fabio Fognini,$1.226,Fabio Fognini,Feb 18 2013,Acapulco,R32,Stan Wawrinka,false,81.0,cluster_3,0,0
61.0,48.0,David Ferrer,$3.814,David Ferrer,Feb 18 2013,Buenos Aires,F,Stan Wawrinka,false,82.0,cluster_1,0,0
67.0,21.0,Nicolas Almagro,$2.236,Stan Wawrinka,Feb 18 2013,Buenos Aires,S,Stan Wawrinka,false,83.0,cluster_0,0,0
74.0,27.0,Tomas Berdych,$3.431,Tomas Berdych,Feb 18 2013,Marseille,Q,Jerzy Janowicz,false,71.0,cluster_4,0,0
38.0,38.0,Roberto Bautista Agut,$1.252,Gilles Simon,Feb 18 2013,Marseille,R16,Gilles Simon,false,74.0,cluster_1,0,0
76.0,46.0,Jo-Wilfried Tsonga,$2.791,Jo-Wilfried Tsonga,Feb 18 2013,Marseille,S,Gilles Simon,false,76.0,cluster_0,0,0
64.0,32.0,Juan Martin Del Potro,$3.860,Gilles Simon,Feb 18 2013,Marseille,Q,Gilles Simon,false,79.0,cluster_4,0.09,1
65,35,Rafael Nadal,$5.047,Rafael Nadal,Feb 25 2013,Acapulco,S,Nicolas Almagro,FALSE,50,cluster_1,0,0
58,31,Tommy Robredo,$1.160,Nicolas Almagro,Feb 25 2013,Acapulco,R16,Nicolas Almagro,FALSE,54,cluster_4,-0.03,1
67,42,Tomas Berdych,$4.837,Tomas Berdych,Feb 25 2013,Australian Open Slam,Round of 16,Kevin Anderson,FALSE,65,cluster_4,-0.02,9
67.0,35.0,Gilles Simon,$1.319,Gilles Simon,Feb 25 2013,Marseille,Q,Juan Martin Del Potro,false,28.0,cluster_4,0,0
67.0,35.0,Tomas Berdych,$1.479,Tomas Berdych,Feb 25 2013,Dubai,S,Roger Federer,false,64.0,cluster_2,0.21,1
63.0,34.0,Tommy Haas,$1.967,Ernests Gulbis,Feb 25 2013,Delray Beach,S,Ernests Gulbis,false,77.0,cluster_4,0,0
65.0,36.0,Ernests Gulbis,$1.967,Ernests Gulbis,Feb 25 2013,Delray Beach,S,Tommy Haas,false,80.0,cluster_4,0,0
60.0,23.0,Kevin Anderson,$1.985,John Isner,Feb 25 2013,Delray Beach,Q,John Isner,false,75.0,cluster_4,0.31,4
68.0,41.0,Nicolas Almagro,$6.453,Nicolas Almagro,Feb 25 2013,Acapulco,R16,Tommy Robredo,false,67.0,cluster_4,0,0
69.0,54.0,Novak Djokovic,$19.689,Novak Djokovic,Feb 25 2013,Dubai,Q,Andreas Seppi,false,69.0,cluster_3,0,0
61.0,61.0,Gilles Simon,$4.580,Gilles Simon,Feb 25 2013,Marseille,R16,Roberto Bautista Agut,false,33.0,cluster_3,0,0
55.0,33.0,Stan Wawrinka,$4.960,Fabio Fognini,Feb 25 2013,Acapulco,R32,Fabio Fognini,false,19.0,cluster_2,0,0
79.0,45.0,Kei Nishikori,$4.328,Kei Nishikori,Feb 25 2013,Memphis,F,Feliciano Lopez,false,76.0,cluster_3,0,0
68,36,Tommy Haas,$1.653,Tommy Haas,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R32,Nicolas Almagro,FALSE,47,cluster_1,0.08,2
60,31,Gilles Simon,$1.513,Kevin Anderson,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R16,Kevin Anderson,FALSE,50,cluster_0,-0.04,1
59,38,David Ferrer,$4.328,Kevin Anderson,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R64,Kevin Anderson,FALSE,54,cluster_0,0,0
76,39,John Isner,$1.948,John Isner,Mar 6 2013,Delray Beach,Q,Kevin Anderson,FALSE,59,cluster_4,0.04,7
67,34,Milos Raonic,$2.096,Milos Raonic,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R32,Marin Cilic,FALSE,55,cluster_0,0,0
58.0,41.0,Novak Djokovic,$5.821,Juan Martin Del Potro,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,S,Juan Martin Del Potro,false,12.0,cluster_1,-0.2,10
59.0,32.0,Andy Murray,$2.710,Juan Martin Del Potro,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,Q,Juan Martin Del Potro,false,15.0,cluster_3,-0.2,3
43.0,27.0,Tommy Haas,$1.272,Juan Martin Del Potro,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R16,Juan Martin Del Potro,false,16.0,cluster_0,0,0
71.0,39.0,Novak Djokovic,$7.226,Novak Djokovic,Mar 6 2013,Dubai,S,Juan Martin Del Potro,false,22.0,cluster_4,0.28,15
72.0,42.0,Novak Djokovic,$23.285,Novak Djokovic,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R32,Grigor Dimitrov,false,75.0,cluster_3,-0.05,1
58.0,41.0,Juan Martin Del Potro,$1.183,Juan Martin Del Potro,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,S,Novak Djokovic,false,87.0,cluster_4,0,0
57.0,40.0,Stan Wawrinka,$1.264,Roger Federer,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R16,Roger Federer,false,59.0,cluster_1,0,0
62.0,50.0,Tomas Berdych,$2.509,Tomas Berdych,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R16,Richard Gasquet,false,67.0,cluster_1,0,0
58.0,24.0,Jerzy Janowicz,$1.352,Richard Gasquet,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R32,Richard Gasquet,false,68.0,cluster_4,-0.02,2
64.0,35.0,Rafael Nadal,$1.090,Rafael Nadal,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R16,Ernests Gulbis,false,72.0,cluster_4,0,0
60.0,34.0,Andreas Seppi,$1.482,Ernests Gulbis,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R32,Ernests Gulbis,false,73.0,cluster_4,0.03,1
50.0,30.0,Feliciano Lopez,$1.664,Ernests Gulbis,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R128,Ernests Gulbis,false,75.0,cluster_0,0.09,2
72.0,56.0,Juan Martin Del Potro,$4.328,Juan Martin Del Potro,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R16,Tommy Haas,false,77.0,cluster_1,-0.01,2
63.0,31.0,Nicolas Almagro,$2.428,Tommy Haas,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R32,Tommy Haas,false,78.0,cluster_4,-0.01,1
72.0,41.0,Stan Wawrinka,$3.984,Stan Wawrinka,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R32,Lleyton Hewitt,false,49.0,cluster_0,-0.14,1
66.0,30.0,John Isner,$2.933,Lleyton Hewitt,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R64,Lleyton Hewitt,false,50.0,cluster_1,-0.93,10
69.0,33.0,Lleyton Hewitt,$1.479,Lleyton Hewitt,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R64,John Isner,false,73.0,cluster_3,0,0
72.0,33.0,Novak Djokovic,$2.725,Novak Djokovic,Mar 6 2013,Australian Open Slam,Final,Andy Murray,false,44.0,cluster_3,0.66,8
72.0,25.0,Jo-Wilfried Tsonga,$2.197,Jo-Wilfried Tsonga,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R16,Milos Raonic,false,47.0,cluster_1,0.2,1
65.0,32.0,Marin Cilic,$1.852,Milos Raonic,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R32,Milos Raonic,false,48.0,cluster_0,0,0
65.0,39.0,Ernests Gulbis,$2.924,Ernests Gulbis,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R32,Andreas Seppi,false,67.0,cluster_0,0,0
75.0,27.0,Milos Raonic,$1.780,Jo-Wilfried Tsonga,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R16,Jo-Wilfried Tsonga,false,41.0,cluster_1,-0.08,1
59.0,42.0,Roger Federer,$4.432,Roger Federer,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R16,Stan Wawrinka,false,78.0,cluster_1,-0.09,1
58.0,27.0,Lleyton Hewitt,$1.306,Stan Wawrinka,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R32,Stan Wawrinka,false,79.0,cluster_2,0,0
63.0,43.0,David Ferrer,$14.400,David Ferrer,Mar 6 2013,Acapulco,S,Fabio Fognini,false,18.0,cluster_4,0.12,1
76.0,41.0,Richard Gasquet,$3.608,Richard Gasquet,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R32,Jerzy Janowicz,false,70.0,cluster_3,0,0
69.0,49.0,Ernests Gulbis,$2.403,Ernests Gulbis,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R128,Feliciano Lopez,false,81.0,cluster_4,0,0
68.0,40.0,Kevin Anderson,$2.809,Kevin Anderson,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R16,Gilles Simon,false,6.0,cluster_3,-0.19,2
69,40,Richard Gasquet,$2.106,Richard Gasquet,Mar 18 2013,ATP World Tour Masters 1000 Miami,R16,Nicolas Almagro,FALSE,40,cluster_3,0,0
69,37,Tomas Berdych,$4.915,Tomas Berdych,Mar 18 2013,ATP World Tour Masters 1000 Indian Wells,Q,Kevin Anderson,FALSE,47,cluster_1,-0.4,7
65,40,Rafael Nadal,$2.809,Rafael Nadal,Mar 18 2013,ATP World Tour Masters 1000 Indian Wells,S,Tomas Berdych,FALSE,85,cluster_4,0,0
62,30,Kevin Anderson,$1.229,Tomas Berdych,Mar 18 2013,ATP World Tour Masters 1000 Indian Wells,Q,Tomas Berdych,FALSE,86,cluster_1,0,0
59,24,Jo-Wilfried Tsonga,$2.791,Marin Cilic,Mar 18 2013,ATP World Tour Masters 1000 Miami,R16,Marin Cilic,FALSE,52,cluster_4,0.41,4
61,22,John Isner,$1.598,Marin Cilic,Mar 18 2013,ATP World Tour Masters 1000 Miami,R32,Marin Cilic,FALSE,53,cluster_4,-0.01,1
69.0,41.0,Rafael Nadal,$2.834,Rafael Nadal,Mar 18 2013,ATP World Tour Masters 1000 Indian Wells,F,Juan Martin Del Potro,false,11.0,cluster_4,-0.21,5
62.0,41.0,Andy Murray,$8.550,Andy Murray,Mar 18 2013,ATP World Tour Masters 1000 Miami,R32,Grigor Dimitrov,false,73.0,cluster_1,-0.79,6
50.0,51.0,Andy Murray,$3.810,Andy Murray,Mar 18 2013,ATP World Tour Masters 1000 Miami,F,David Ferrer,false,87.0,cluster_4,0,0
53.0,39.0,Tommy Haas,$1.493,David Ferrer,Mar 18 2013,ATP World Tour Masters 1000 Miami,S,David Ferrer,false,88.0,cluster_3,0,0
66.0,49.0,Andy Murray,$4.205,Andy Murray,Mar 18 2013,ATP World Tour Masters 1000 Miami,S,Richard Gasquet,false,62.0,cluster_1,0,0
60.0,30.0,Tomas Berdych,$3.071,Richard Gasquet,Mar 18 2013,ATP World Tour Masters 1000 Miami,Q,Richard Gasquet,false,63.0,cluster_2,-0.46,5
59.0,30.0,Nicolas Almagro,$1.845,Richard Gasquet,Mar 18 2013,ATP World Tour Masters 1000 Miami,R16,Richard Gasquet,false,64.0,cluster_2,0,0
51.0,35.0,Mikhail Youzhny,$1.272,Richard Gasquet,Mar 18 2013,ATP World Tour Masters 1000 Miami,R32,Richard Gasquet,false,65.0,cluster_0,1.02,11
60.0,46.0,David Ferrer,$2.881,David Ferrer,Mar 18 2013,ATP World Tour Masters 1000 Miami,S,Tommy Haas,false,72.0,cluster_2,0,0
52.0,21.0,Gilles Simon,$1.571,Tommy Haas,Mar 18 2013,ATP World Tour Masters 1000 Miami,Q,Tommy Haas,false,73.0,cluster_3,0,0
52.0,25.0,Novak Djokovic,$16.054,Tommy Haas,Mar 18 2013,ATP World Tour Masters 1000 Miami,R16,Tommy Haas,false,74.0,cluster_3,0,0
50.0,32.0,Alexandr Dolgopolov,$1.735,Tommy Haas,Mar 18 2013,ATP World Tour Masters 1000 Miami,R32,Tommy Haas,false,75.0,cluster_3,0,0
64.0,51.0,Gilles Simon,$2.709,Gilles Simon,Mar 18 2013,ATP World Tour Masters 1000 Miami,R64,Lleyton Hewitt,false,47.0,cluster_2,0,0
77.0,38.0,Marin Cilic,$2.557,Marin Cilic,Mar 18 2013,ATP World Tour Masters 1000 Miami,R32,John Isner,false,71.0,cluster_2,0.21,2
50.0,33.0,Richard Gasquet,$1.283,Andy Murray,Mar 18 2013,ATP World Tour Masters 1000 Miami,S,Andy Murray,false,23.0,cluster_1,0.25,1
45.0,41.0,Marin Cilic,$1.210,Andy Murray,Mar 18 2013,ATP World Tour Masters 1000 Miami,Q,Andy Murray,false,24.0,cluster_1,0.14,2
56.0,24.0,Andreas Seppi,$1.065,Andy Murray,Mar 18 2013,ATP World Tour Masters 1000 Miami,R16,Andy Murray,false,28.0,cluster_2,0.2,1
58.0,37.0,Grigor Dimitrov,$1.111,Andy Murray,Mar 18 2013,ATP World Tour Masters 1000 Miami,R32,Andy Murray,false,29.0,cluster_0,0.06,7
67.0,40.0,Juan Martin Del Potro,$1.543,Juan Martin Del Potro,Mar 18 2013,ATP World Tour Masters 1000 Indian Wells,Q,Andy Murray,false,33.0,cluster_3,0.1,3
68.0,46.0,David Ferrer,$3.668,David Ferrer,Mar 18 2013,ATP World Tour Masters 1000 Miami,R16,Kei Nishikori,false,56.0,cluster_1,0,0
75.0,43.0,Andy Murray,$12.872,Andy Murray,Mar 18 2013,ATP World Tour Masters 1000 Miami,R16,Andreas Seppi,false,64.0,cluster_3,-0.23,1
75.0,40.0,Marin Cilic,$1.518,Marin Cilic,Mar 18 2013,ATP World Tour Masters 1000 Miami,R16,Jo-Wilfried Tsonga,false,34.0,cluster_4,0,0
64.0,48.0,Richard Gasquet,$4.328,Richard Gasquet,Mar 18 2013,ATP World Tour Masters 1000 Miami,R32,Mikhail Youzhny,false,64.0,cluster_2,-0.87,9
71.0,50.0,Novak Djokovic,$31.619,Novak Djokovic,Mar 18 2013,Dubai,R16,Roberto Bautista Agut,false,34.0,cluster_3,0,0
67.0,49.0,Tommy Haas,$2.270,Tommy Haas,Mar 18 2013,ATP World Tour Masters 1000 Miami,R32,Alexandr Dolgopolov,false,76.0,cluster_3,0.27,1
67.0,49.0,Novak Djokovic,$35.456,Novak Djokovic,Mar 18 2013,ATP World Tour Masters 1000 Indian Wells,R64,Fabio Fognini,false,20.0,cluster_0,0,0
48.0,35.0,Lleyton Hewitt,$1.544,Gilles Simon,Mar 18 2013,ATP World Tour Masters 1000 Miami,R64,Gilles Simon,false,5.0,cluster_2,0.24,1
78.0,48.0,Tommy Haas,$2.628,Tommy Haas,Mar 18 2013,ATP World Tour Masters 1000 Miami,Q,Gilles Simon,false,8.0,cluster_0,-0.12,2
53.0,27.0,John Isner,$1.456,Ernests Gulbis,Apr 5 2013,ATP World Tour Masters 1000 Monte Carlo,R64,Ernests Gulbis,false,71.0,cluster_0,-0.05,1
71.0,47.0,David Ferrer,$7.247,David Ferrer,Apr 5 2013,ATP World Tour Masters 1000 Miami,R32,Fabio Fognini,false,22.0,cluster_0,-0.07,4
68,37,John Isner,$1.279,John Isner,Apr 8 2013,Houston,F,Nicolas Almagro,FALSE,32,cluster_1,-0.12,1
54,32,Gael Monfils,$1.228,Nicolas Almagro,Apr 8 2013,Houston,R16,Nicolas Almagro,FALSE,39,cluster_4,0.11,1
62.0,31.0,Nicolas Almagro,$4.247,John Isner,Apr 8 2013,Houston,F,John Isner,false,66.0,cluster_3,0,0
67.0,31.0,Kevin Anderson,$2.226,Tommy Robredo,Apr 8 2013,Casablanca,F,Tommy Robredo,false,61.0,cluster_1,0,0
55.0,42.0,Stan Wawrinka,$4.328,Tommy Robredo,Apr 8 2013,Casablanca,S,Tommy Robredo,false,62.0,cluster_0,-0.15,1
57.0,44.0,Tommy Robredo,$1.272,Tommy Robredo,Apr 8 2013,Casablanca,S,Stan Wawrinka,false,75.0,cluster_1,0,0
64,32,Jerzy Janowicz,$1.752,Kevin Anderson,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R64,Kevin Anderson,FALSE,33,cluster_1,0,0
68,32,Tommy Robredo,$1.761,Tommy Robredo,Apr 15 2013,Casablanca,F,Kevin Anderson,FALSE,34,cluster_1,0.21,2
