matchId,tournament,player1,player2,winner,t_round,duration,p1Aces,p1DoubleFaults,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p2Aces,p2DoubleFaults,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,urlVisited
,ATP World Tour Masters 1000 Indian Wells,Roger Federer,Denis Istomin,Roger Federer,R64,58,3,2,72,96,70,41,70,57,,,,,,,3,0,63,58,42,3,42,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2013&r=2&p=F324
,ATP World Tour Masters 1000 Indian Wells,Roger Federer,Ivan Dodig,Roger Federer,R32,61,5,3,50,82,50,23,50,100,,,,,,,1,6,31,76,42,17,42,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2013&r=3&p=F324
,ATP World Tour Masters 1000 Indian Wells,Roger Federer,Stan Wawrinka,Roger Federer,R16,140,5,2,59,66,50,38,50,33,,,,,,,6,3,60,61,53,33,53,42,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2013&r=4&p=F324
,ATP World Tour Masters 1000 Indian Wells,Rafael Nadal,Roger Federer,Rafael Nadal,Q,85,1,2,67,77,52,37,52,36,,,,,,,4,0,64,62,29,22,29,50,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2013&r=5&p=N409
,ATP World Tour Masters 1000 Madrid,Roger Federer,Radek Stepanek,Roger Federer,R32,81,1,2,57,75,53,36,53,40,,,,,,,3,1,63,63,33,25,33,12,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2013&r=3&p=F324
,ATP World Tour Masters 1000 Madrid,Kei Nishikori,Roger Federer,Kei Nishikori,R16,95,1,0,68,69,48,26,48,75,,,,,,,7,0,64,73,65,30,65,28,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2013&r=4&p=N552
,ATP World Tour Masters 1000 Rome,Roger Federer,Potito Starace,Roger Federer,R32,51,4,0,75,83,80,45,80,50,,,,,,,2,0,74,54,25,16,25,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2013&r=3&p=F324
,ATP World Tour Masters 1000 Rome,Roger Federer,Gilles Simon,Roger Federer,R16,63,3,0,72,75,83,41,83,50,,,,,,,1,3,56,58,29,25,29,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2013&r=4&p=F324
,ATP World Tour Masters 1000 Rome,Roger Federer,Jerzy Janowicz,Roger Federer,Q,86,11,0,75,72,75,34,75,33,,,,,,,5,4,60,65,55,28,55,33,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2013&r=5&p=F324
,ATP World Tour Masters 1000 Rome,Roger Federer,Benoit Paire,Roger Federer,S,88,1,3,59,77,50,24,50,33,,,,,,,8,5,44,75,48,22,48,16,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2013&r=6&p=F324
,ATP World Tour Masters 1000 Rome,Rafael Nadal,Roger Federer,Rafael Nadal,F,69,1,1,73,70,72,43,72,83,,,,,,,3,0,56,56,30,29,30,50,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2013&r=7&p=N409
,Halle,Roger Federer,Cedrik-Marcel Stebe,Roger Federer,R16,68,3,2,58,75,50,46,50,57,,,,,,,5,1,70,53,41,25,41,50,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=500&y=2013&r=4&p=F324
,Halle,Roger Federer,Mischa Zverev,Roger Federer,Q,40,4,1,63,71,83,66,83,60,,,,,,,0,3,62,33,31,28,31,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=500&y=2013&r=5&p=F324
,Halle,Roger Federer,Tommy Haas,Roger Federer,S,98,15,1,64,80,57,23,57,22,,,,,,,6,9,60,76,44,20,44,33,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=500&y=2013&r=6&p=F324
,Halle,Roger Federer,Mikhail Youzhny,Roger Federer,F,123,11,1,65,79,66,28,66,22,,,,,,,3,3,61,71,56,20,56,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=500&y=2013&r=7&p=F324
,Hamburg,Roger Federer,Daniel Brands,Roger Federer,R32,86,9,2,60,83,60,40,60,50,,,,,,,5,4,64,59,55,16,55,50,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=414&y=2013&r=3&p=F324
,Hamburg,Roger Federer,Jan Hajek,Roger Federer,R16,72,7,1,51,70,71,44,71,23,,,,,,,2,0,63,55,52,30,52,25,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=414&y=2013&r=4&p=F324
,Hamburg,Roger Federer,Florian Mayer,Roger Federer,Q,120,2,3,58,73,45,39,45,40,,,,,,,6,1,57,60,59,26,59,55,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=414&y=2013&r=5&p=F324
,Hamburg,Federico Delbonis,Roger Federer,Federico Delbonis,S,113,3,2,56,82,68,21,68,14,,,,,,,5,2,57,78,53,17,53,50,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=414&y=2013&r=6&p=D874
,Gstaad,Daniel Brands,Roger Federer,Daniel Brands,R16,66,11,2,77,75,46,26,46,33,,,,,,,8,1,52,73,51,25,51,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=314&y=2013&r=4&p=BC72
,ATP World Tour Masters 1000 Cincinnati,Roger Federer,Philipp Kohlschreiber,Roger Federer,R32,87,8,1,61,86,62,27,62,18,,,,,,,5,4,50,72,47,13,47,100,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2013&r=3&p=F324
,ATP World Tour Masters 1000 Cincinnati,Roger Federer,Tommy Haas,Roger Federer,R16,113,10,4,66,71,41,32,41,25,,,,,,,10,4,65,67,50,28,50,33,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2013&r=4&p=F324
,ATP World Tour Masters 1000 Cincinnati,Rafael Nadal,Roger Federer,Rafael Nadal,Q,134,3,1,73,73,60,32,60,22,,,,,,,4,0,63,67,62,26,62,50,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2013&r=5&p=N409
,Australian Open Slam,Roger Federer,Benoit Paire,Roger Federer,Round of 128,83,3,0,64,84,60,36,60,50,25,18,"
								","
								",185,156,8,8,60,64,33,16,33,0,21,27,"
                            ","
                            ",185,142,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954164
,Australian Open Slam,Roger Federer,Nikolay Davydenko,Roger Federer,Round of 64,119,9,2,68,76,66,37,66,23,35,42,"
								","
								",185,157,9,3,66,63,47,24,47,0,17,39,"
                            ","
                            ",177,148,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954232
,Australian Open Slam,Roger Federer,Bernard Tomic,Roger Federer,Round of 32,118,11,4,69,88,45,33,45,19,46,20,"
								","
								",187,156,8,2,69,67,42,12,42,0,42,41,"
                            ","
                            ",189,151,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954316
,Australian Open Slam,Roger Federer,Milos Raonic,Roger Federer,Round of 16,113,14,1,64,90,75,30,75,43,34,12,"
								","
								",189,155,19,5,67,70,50,10,50,0,37,41,"
                            ","
                            ",207,165,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954408
,Australian Open Slam,Roger Federer,Jo-Wilfried Tsonga,Roger Federer,Quarter Final,214,6,3,61,77,56,25,56,22,49,47,"
								","
								",189,156,20,1,67,75,47,23,47,56,66,61,"
                            ","
                            ",194,147,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954504
,Australian Open Slam,Andy Murray,Roger Federer,Andy Murray,Semi Final,240,21,0,64,75,63,27,63,38,62,47,"
								","
								",192,140,5,2,61,73,42,25,42,33,43,60,"
                            ","
                            ",186,155,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954602
,French Open Slam,Roger Federer,Pablo Carreno Busta,Roger Federer,Round of 128,80,10,0,68,83,74,45,74,100,33,19,"
								","
								",182,148,1,3,62,55,37,18,37,33,12,29,"
                            ","
                            ",165,138,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224164
,French Open Slam,Roger Federer,Somdev Devvarman,Roger Federer,Round of 64,82,3,0,62,75,72,59,72,50,54,33,"
								","
								",180,152,2,0,61,41,55,25,55,0,12,14,"
                            ","
                            ",164,134,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224232
,French Open Slam,Roger Federer,Julien Benneteau,Roger Federer,Round of 32,91,7,0,65,82,79,40,79,100,38,21,"
								","
								",182,157,2,1,82,60,53,18,53,33,15,31,"
                            ","
                            ",169,143,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224316
,French Open Slam,Roger Federer,Gilles Simon,Roger Federer,Round of 16,179,9,2,64,75,55,34,55,43,60,56,"
								","
								",188,153,5,3,61,66,44,25,44,50,32,47,"
                            ","
                            ",179,140,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224408
,French Open Slam,Jo-Wilfried Tsonga,Roger Federer,Jo-Wilfried Tsonga,Quarter Final,111,2,0,75,81,53,42,53,43,26,22,"
								","
								",177,142,0,3,67,58,42,19,42,67,25,34,"
                            ","
                            ",184,150,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224504
,Wimbledon Slam,Roger Federer,Victor Hanescu,Roger Federer,Round of 128,69,7,0,70,90,82,50,82,75,32,6,"
								","
								",170,146,3,1,85,50,33,10,33,0,14,13,"
                            ","
                            ",173,151,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604148
,US Open Slam,Roger Federer,Grega Zemlja,Roger Federer,Round of 128,93,12,2,60,85,66,33,66,45,35,16,20,21,181,148,9,9,49,67,40,15,40,33,23,33,5,13,191,151,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634149
,US Open Slam,Roger Federer,Carlos Berlocq,Roger Federer,Round of 64,95,6,2,52,75,67,49,67,54,37,25,28,40,181,152,1,2,84,51,15,25,15,33,17,17,7,17,164,138,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634225
,US Open Slam,Roger Federer,Adrian Mannarino,Roger Federer,Round of 32,81,8,4,57,92,50,45,50,43,34,20,19,24,178,154,1,0,65,55,35,8,35,0,8,14,9,18,183,146,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634313
,ATP World Tour Masters 1000 Shanghai,Gael Monfils,Roger Federer,Gael Monfils,R16,129,15,5,58,80,55,28,55,30,,,,,,,3,2,71,71,51,19,51,20,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=4&p=MC65
,Basel,Roger Federer,Adrian Mannarino,Roger Federer,R32,71,3,2,51,88,58,29,58,30,,,,,,,1,2,49,70,34,12,34,100,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=328&y=2013&r=3&p=F324
,Basel,Roger Federer,Denis Istomin,Roger Federer,R16,111,4,1,56,71,69,34,69,25,,,,,,,5,0,64,65,46,28,46,16,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=328&y=2013&r=4&p=F324
,Basel,Roger Federer,Grigor Dimitrov,Roger Federer,Q,92,3,4,55,84,53,35,53,60,,,,,,,7,6,48,64,53,15,53,10,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=328&y=2013&r=5&p=F324
,Basel,Roger Federer,Vasek Pospisil,Roger Federer,S,160,4,1,56,73,55,26,55,45,,,,,,,11,5,42,74,44,26,44,50,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=328&y=2013&r=6&p=F324
,Basel,Juan Martin Del Potro,Roger Federer,Juan Martin Del Potro,F,140,8,4,59,77,48,24,48,33,,,,,,,14,5,60,75,47,22,47,50,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=328&y=2013&r=7&p=D683
,ATP World Tour Masters 1000 Paris,Roger Federer,Kevin Anderson,Roger Federer,R32,83,7,0,62,74,56,28,56,37,,,,,,,9,5,58,71,40,25,40,16,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2013&r=3&p=F324
,ATP World Tour Masters 1000 Paris,Roger Federer,Philipp Kohlschreiber,Roger Federer,R16,64,8,1,74,85,50,26,50,50,,,,,,,5,3,60,73,45,14,45,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2013&r=4&p=F324
,ATP World Tour Masters 1000 Paris,Roger Federer,Juan Martin Del Potro,Roger Federer,Q,104,6,0,68,82,63,37,63,66,,,,,,,3,2,65,62,48,17,48,50,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2013&r=5&p=F324
,ATP World Tour Masters 1000 Paris,Novak Djokovic,Roger Federer,Novak Djokovic,S,121,7,5,65,71,53,32,53,40,,,,,,,5,4,66,67,40,28,40,40,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2013&r=6&p=D643
,Barclays ATP World Tour Finals,Rafael Nadal,Roger Federer,Rafael Nadal,S,80,2,0,76,74,69,30,69,100,,,,,,,6,1,66,69,40,25,40,25,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=605&y=2013&r=6&p=N409
,Brisbane,Roger Federer,Jarkko Nieminen,Roger Federer,R16,68,9,0,60,79,63,40,63,75,,,,,,,1,4,55,60,50,20,50,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=339&y=2014&r=4&p=F324
,Brisbane,Roger Federer,Marinko Matosevic,Roger Federer,Q,58,9,1,60,84,56,46,56,55,,,,,,,3,5,55,53,29,16,29,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=339&y=2014&r=5&p=F324
,Brisbane,Roger Federer,Jeremy Chardy,Roger Federer,S,116,20,3,58,82,58,16,58,66,,,,,,,4,7,50,83,48,17,48,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=339&y=2014&r=6&p=F324
,Brisbane,Lleyton Hewitt,Roger Federer,Lleyton Hewitt,F,127,4,4,49,80,50,30,50,36,,,,,,,13,0,63,69,45,20,45,10,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=339&y=2014&r=7&p=H432
,Dubai,Roger Federer,Benjamin Becker,Roger Federer,R32,62,5,2,62,83,63,38,63,75,,,,,,,1,3,54,61,46,16,46,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=495&y=2014&r=3&p=F324
,Dubai,Roger Federer,Radek Stepanek,Roger Federer,R16,129,8,5,62,72,48,37,48,66,,,,,,,3,3,49,62,40,27,40,50,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=495&y=2014&r=4&p=F324
,Dubai,Roger Federer,Lukas Rosol,Roger Federer,Q,58,4,1,62,80,44,51,44,45,,,,,,,2,2,49,48,39,20,39,50,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=495&y=2014&r=5&p=F324
,Dubai,Roger Federer,Novak Djokovic,Roger Federer,S,106,7,0,59,76,58,32,58,42,,,,,,,5,2,61,67,57,23,57,16,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=495&y=2014&r=6&p=F324
,Dubai,Roger Federer,Tomas Berdych,Roger Federer,F,119,8,1,51,83,46,34,46,40,,,,,,,5,1,48,65,45,16,45,30,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=495&y=2014&r=7&p=F324
,ATP World Tour Masters 1000 Indian Wells,Roger Federer,Paul-Henri Mathieu,Roger Federer,R64,91,9,1,61,84,50,34,50,60,,,,,,,1,7,52,65,50,15,50,50,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=2&p=F324
,ATP World Tour Masters 1000 Indian Wells,Roger Federer,Dmitry Tursunov,Roger Federer,R32,106,9,1,67,71,68,27,68,66,,,,,,,7,6,46,72,53,28,53,66,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=3&p=F324
,ATP World Tour Masters 1000 Indian Wells,Roger Federer,Tommy Haas,Roger Federer,R16,84,7,1,64,82,45,31,45,27,,,,,,,3,3,65,68,41,17,41,20,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=4&p=F324
,ATP World Tour Masters 1000 Indian Wells,Roger Federer,Kevin Anderson,Roger Federer,Q,69,3,0,64,78,88,28,88,42,,,,,,,3,1,59,71,31,21,31,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=5&p=F324
,ATP World Tour Masters 1000 Indian Wells,Roger Federer,Alexandr Dolgopolov,Roger Federer,S,62,7,1,72,74,83,33,83,44,,,,,,,2,3,39,66,37,25,37,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=6&p=F324
,ATP World Tour Masters 1000 Indian Wells,Novak Djokovic,Roger Federer,Novak Djokovic,F,132,6,5,64,75,50,29,50,33,,,,,,,6,4,63,70,56,24,56,66,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=7&p=D643
,ATP World Tour Masters 1000 Miami,Roger Federer,Ivo Karlovic,Roger Federer,R64,75,6,0,75,94,92,18,92,33,,,,,,,13,1,64,81,45,5,45,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=2&p=F324
,ATP World Tour Masters 1000 Miami,Roger Federer,Thiemo de Bakker,Roger Federer,R32,63,6,1,60,84,82,34,82,33,,,,,,,7,2,60,65,40,15,40,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=3&p=F324
,ATP World Tour Masters 1000 Miami,Roger Federer,Richard Gasquet,Roger Federer,R16,49,6,0,67,88,58,46,58,83,,,,,,,0,4,60,53,35,12,35,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=4&p=F324
,ATP World Tour Masters 1000 Miami,Kei Nishikori,Roger Federer,Kei Nishikori,Q,129,6,5,65,64,48,29,48,41,,,,,,,7,3,53,70,48,35,48,44,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=5&p=N552
,ATP World Tour Masters 1000 Monte Carlo,Roger Federer,Radek Stepanek,Roger Federer,R32,52,2,1,78,87,44,44,44,100,,,,,,,0,5,60,56,43,12,43,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=3&p=F324
,ATP World Tour Masters 1000 Monte Carlo,Roger Federer,Lukas Rosol,Roger Federer,R16,58,6,1,58,90,40,44,40,100,,,,,,,0,1,58,56,33,9,33,25,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=4&p=F324
,ATP World Tour Masters 1000 Monte Carlo,Roger Federer,Jo-Wilfried Tsonga,Roger Federer,Q,146,4,0,66,68,58,38,58,10,,,,,,,3,2,66,61,47,31,47,50,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=5&p=F324
,ATP World Tour Masters 1000 Monte Carlo,Roger Federer,Novak Djokovic,Roger Federer,S,75,3,1,70,82,58,40,58,60,,,,,,,2,0,67,60,63,17,63,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=6&p=F324
,ATP World Tour Masters 1000 Monte Carlo,Stan Wawrinka,Roger Federer,Stan Wawrinka,F,134,5,2,58,79,56,26,56,42,,,,,,,3,1,66,73,44,20,44,66,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=7&p=W367
,ATP World Tour Masters 1000 Rome,Jeremy Chardy,Roger Federer,Jeremy Chardy,R32,127,2,5,56,80,45,31,45,18,,,,,,,9,1,68,68,50,19,50,42,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=3&p=CA12
,Wimbledon Slam,Sergiy Stakhovsky,Roger Federer,Sergiy Stakhovsky,Round of 64,180,17,2,66,76,64,20,64,29,72,17,"
								","
								",186,157,16,1,72,80,55,24,55,13,57,13,"
                            ","
                            ",186,159,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604224
,US Open Slam,Tommy Robredo,Roger Federer,Tommy Robredo,Round of 16,144,6,4,70,69,46,27,46,57,31,26,11,17,170,143,5,0,60,73,47,31,47,13,45,43,32,52,178,143,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634407
,Australian Open Slam,Roger Federer,James Duckworth,Roger Federer,Round of 128,106,11,5,58,89,58,25,58,24,30,17,18,22,185,153,13,3,52,75,43,11,43,0,34,38,19,34,176,162,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704132
,Australian Open Slam,Roger Federer,Blaz Kavcic,Roger Federer,Round of 64,107,11,0,76,78,50,48,50,55,52,35,23,29,180,151,6,3,62,52,47,22,47,50,14,21,4,13,181,142,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704216
,Australian Open Slam,Roger Federer,Teymuraz Gabashvili,Roger Federer,Round of 32,101,6,1,62,87,57,40,57,36,35,18,11,20,180,148,3,5,69,60,36,13,36,0,27,33,7,19,178,148,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704308
,Australian Open Slam,Roger Federer,Jo-Wilfried Tsonga,Roger Federer,Round of 16,112,7,1,57,88,69,30,69,43,43,21,34,41,184,152,8,1,52,70,55,13,55,0,29,28,11,25,191,146,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704404
,Australian Open Slam,Roger Federer,Andy Murray,Roger Federer,Quarter Final,200,10,0,64,78,64,33,64,24,54,42,49,66,184,149,9,1,61,67,49,22,49,50,41,46,17,27,183,131,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704502
,Australian Open Slam,Rafael Nadal,Roger Federer,Rafael Nadal,Semi Final,144,3,1,65,73,73,35,73,29,28,25,3,10,175,143,8,1,66,65,50,27,50,50,34,50,23,42,181,152,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704601
,Davis Cup,Roger Federer,Ilija Bozoljac,Roger Federer,Singles,102,8,1,65,84,69,24,69,45,,,,,,,18,7,66,76,29,16,29,50,,,,,,,http://www.tennisinsight.com/match_stats_popup.php?matchID=183913101
,Davis Cup,Roger Federer,Mikhail Kukushkin,Roger Federer,Singles,112,11,2,67,83,62,36,62,44,,,,,,,6,2,58,64,50,17,50,0,,,,,,,http://www.tennisinsight.com/match_stats_popup.php?matchID=184973102
,Davis Cup,Roger Federer,Andrey Golubev,Roger Federer,Reverse Singles,133,4,1,68,75,60,33,60,42,,,,,,,5,8,58,67,40,25,40,67,,,,,,,http://www.tennisinsight.com/match_stats_popup.php?matchID=184973104
